
 id name                                                                       humanizeName
 -- ----                                                                       ------------
158 lunch-tote-bag                                                             ランチトートバッグ
883 d-factory-6-6oz-premium-comfort-sleeveless-for-shop                        D-FACTORY 6.6oz プレミアムコンフォートノースリーブ
147 acrylic-keychain                                                           アクリルキーホルダー
895 motteru-tr-1201-kururito-daily-bag-for-shop                                MOTTERU クルリト デイリーバッグ TR-1201
766 acrylic-panel                                                              アクリルパネル
159 acrylic-stand                                                              アクリルスタンド
881 cotton-frill-drawstring-pouch-s-for-shop                                   コットンフリル巾着（S）
884 eva-clear-pouch-m-for-shop                                                 EVAクリアポーチ（M）
891 maruman-croquisbook-sq-for-shop                                            マルマン クロッキーブック 白クロッキー紙 （SQ）
892 maruman-sketchbook-b6-for-shop                                             マルマン 図案スケッチブック B6
894 mesh-pocket-sacoche-for-shop                                               メッシュポケットサコッシュ
885 fairtrade-cotton-canvas-zip-pouch-m-for-shop                               フェアトレードコットンキャンバスファスナーポーチ（M）
150 long-sized-water-glass                                                     ロンググラス
880 american-apparel-6-0oz-heavy-weight-cotton-long-sleeve-t-shirt-for-shop    American Apparel 6.0oz ヘビーウェイトコットン長袖Tシャツ
887 glimmer-4-4oz-dry-long-sleeve-t-shirt-for-shop                             GLIMMER 4.4oz ドライ 長袖Tシャツ
882 cross-stitch-open-end-max-weight-mens-over-t-shirt-for-shop                Cross Stitch オープンエンドマックスウェイト メンズオーバーTシャツ
889 glimmer-4-4oz-dry-zip-parka-for-shop                                       GLIMMER 4.4oz ドライジップパーカー
888 glimmer-4-4oz-dry-polo-shirt-for-shop                                      GLIMMER 4.4oz ドライポロシャツ
890 glimmer-dry-half-pants-for-shop                                            GLIMMER ドライハーフパンツ
893 mesh-flat-poly-pouch-s-for-shop                                            メッシュフラットポリポーチ（S）
886 fairtrade-cotton-canvas-zip-pouch-s-for-shop                               フェアトレードコットンキャンバスファスナーポーチ（S）
 15 long-sleeve-t-shirt                                                        ロングスリーブTシャツ
  1 t-shirt                                                                    スタンダードTシャツ
160 ankle-socks                                                                くるぶしソックス
100 big-t-shirt                                                                ビッグシルエットTシャツ
106 big-long-sleeve-t-shirt                                                    ビッグシルエットロングスリーブTシャツ
107 bandana                                                                    バンダナ
294 android-smartphone-case                                                    スマホケース（Android）
 21 acrylic-block                                                              アクリルブロック
 18 clear-smartphone-case                                                      クリアスマホケース
 13 blanket                                                                    ブランケット
151 cushion                                                                    クッション
102 bucket-hat                                                                 バケットハット
 17 can-badge                                                                  缶バッジ
112 dry-t-shirt                                                                ドライTシャツ
 11 sticker                                                                    ステッカー
896 organic-cotton-net-drawstring-pouch-m-for-shop                             オーガニックコットンネット巾着（M）
 23 book-style-smartphone-case                                                 手帳型スマホケース
103 clear-multi-case                                                           クリアマルチケース
733 desk-calendar                                                              卓上カレンダー
101 clear-file-folder                                                          クリアファイル
 96 big-hoodie                                                                 ビッグシルエットパーカー
 62 big-shoulder-bag                                                           ビッグショルダーバッグ
 95 big-sweat                                                                  ビッグシルエットスウェット
360 lightweight-t-shirt                                                        ライトウェイトTシャツ
228 flat-can-case                                                              フラット缶ケース
152 heavyweight-hoodie                                                         ヘビーウェイトパーカー
154 heavyweight-sweat                                                          ヘビーウェイトスウェット
148 heavyweight-t-shirt                                                        ヘビーウェイトTシャツ
153 heavyweight-zip-hoodie                                                     ヘビーウェイトジップパーカー
  9 hoodie                                                                     パーカー
 61 kinchaku                                                                   きんちゃく
 99 five-panel-cap                                                             ジェットキャップ
